name,slug,alt text,image
"Aion-bank","aion-bank","Aion-bank Logo","https://raw.githubusercontent.com/ben-alrdy/webflow-bulk-upload/master/banxware_logos/aion-bank.png"
"Hypovereinsbank","hypovereinsbank","Hypovereinsbank Logo","https://raw.githubusercontent.com/ben-alrdy/webflow-bulk-upload/master/banxware_logos/hypovereinsbank.png"
"Warehousing1","warehousing1","Warehousing1 Logo","https://raw.githubusercontent.com/ben-alrdy/webflow-bulk-upload/master/banxware_logos/Warehousing1.svg"
"Agicap","agicap","Agicap Logo","https://raw.githubusercontent.com/ben-alrdy/webflow-bulk-upload/master/banxware_logos/agicap.svg"
"Alpha-pool","alpha-pool","Alpha-pool Logo","https://raw.githubusercontent.com/ben-alrdy/webflow-bulk-upload/master/banxware_logos/alpha-pool.svg"
"Byrd","byrd","Byrd Logo","https://raw.githubusercontent.com/ben-alrdy/webflow-bulk-upload/master/banxware_logos/byrd.svg"
"Ecommerce-one","ecommerce-one","Ecommerce-one Logo","https://raw.githubusercontent.com/ben-alrdy/webflow-bulk-upload/master/banxware_logos/ecommerce-one.svg"
"Everstox","everstox","Everstox Logo","https://raw.githubusercontent.com/ben-alrdy/webflow-bulk-upload/master/banxware_logos/everstox.svg"
"Fincompare","fincompare","Fincompare Logo","https://raw.githubusercontent.com/ben-alrdy/webflow-bulk-upload/master/banxware_logos/fincompare.svg"
"Forto","forto","Forto Logo","https://raw.githubusercontent.com/ben-alrdy/webflow-bulk-upload/master/banxware_logos/forto.svg"
"Frienton","frienton","Frienton Logo","https://raw.githubusercontent.com/ben-alrdy/webflow-bulk-upload/master/banxware_logos/frienton.svg"
"Fyrst","fyrst","Fyrst Logo","https://raw.githubusercontent.com/ben-alrdy/webflow-bulk-upload/master/banxware_logos/fyrst.svg"
"Händlerbund","händlerbund","Händlerbund Logo","https://raw.githubusercontent.com/ben-alrdy/webflow-bulk-upload/master/banxware_logos/händlerbund.svg"
"Ikas","ikas","Ikas Logo","https://raw.githubusercontent.com/ben-alrdy/webflow-bulk-upload/master/banxware_logos/ikas.svg"
"Lieferando","lieferando","Lieferando Logo","https://raw.githubusercontent.com/ben-alrdy/webflow-bulk-upload/master/banxware_logos/lieferando.svg"
"Qonto","qonto","Qonto Logo","https://raw.githubusercontent.com/ben-alrdy/webflow-bulk-upload/master/banxware_logos/qonto.svg"
"Refurbed","refurbed","Refurbed Logo","https://raw.githubusercontent.com/ben-alrdy/webflow-bulk-upload/master/banxware_logos/refurbed.svg"
"Tide-logo-blue","tide-logo-blue","Tide-logo-blue Logo","https://raw.githubusercontent.com/ben-alrdy/webflow-bulk-upload/master/banxware_logos/tide-logo-blue.svg"
"Tidely","tidely","Tidely Logo","https://raw.githubusercontent.com/ben-alrdy/webflow-bulk-upload/master/banxware_logos/tidely.svg"
"Yareto","yareto","Yareto Logo","https://raw.githubusercontent.com/ben-alrdy/webflow-bulk-upload/master/banxware_logos/yareto.svg"
